2000	259	19
5000	241	19
10000	291	19
15000	0	18
20000	10	31
25000	12	40
30000	23	34
35000	358	25
40000	341	20
45000	350	12
50000	337	9
55000	329	6
60000	269	6
65000	232	7
70000	215	13
75000	197	15
80000	202	16
85000	198	23
90000	176	26
92500	175	24
95000	175	22
97500	175	19
100000	174	12
